,Destination latitude( deg N ),Destination longitudes( deg E ),Distance,Fare,Starting latitude( deg N),Starting longitude( deg E ),Timestamp,Total luggage weight,Traffic stuck time,Vehicle type,Wait time
0,19.146689,72.866225,8,45.33,19.129228,72.83725,2015-01-06 05:01:02,,4,Ac Bus,
1,28.654377,77.111662,21,95.0,28.639524,77.042183,2015-07-17 05:20:37,,35,Mini bus,
2,25.377625,83.021134,31,628.33,25.327953,82.986095,2015-05-28 15:32:41,3.0,5,taxi non Ac,8.0
3,13.17393,80.157865,42,35.62,13.098832,80.208578,2016-11-12 02:59:21,,25,AC Bus,
4,22.452541,88.431908,38,40.21,22.599579,88.413985,2016-03-14 06:06:30,,55,Metro,
5,19.231375,72.883977,45,61.9,19.220379,72.879552,2015-07-19 09:40:55,,14,AC bus,
6,28.735898,77.130824,30,828.3,28.670754,77.082941,2016-10-14 03:54:41,10.0,33,taxi ac,3.0
7,19.07041,72.843543,21,426.4,19.099991,72.84838,2015-02-01 14:55:07,6.0,21,taxi ac,11.0
8,25.335605,82.968088,19,410.83,25.313674,82.979069,2016-03-15 12:03:02,8.0,35,Taxi non Ac,5.0
9,28.603293,77.18848,40,600.0,28.599239,77.176177,2016-01-14 10:31:54,,36,AUTO RICKSHAW,
10,22.45356,88.419093,23,41.04,22.574764,88.392295,2015-05-15 20:33:24,,39,Mini Bus,
11,13.019318,77.661304,22,232.9,12.867972,77.620134,2016-04-07 15:31:32,30.0,6,taxi non Ac,17.0
12,12.965866,77.642848,19,184.58,12.955654,77.499933,2016-09-22 05:46:44,,15,auto rickshaw,
13,28.714984,76.964706,28,77.84,28.588036,77.194852,2016-05-28 11:07:04,,9,Mini bus,
14,22.538828,88.449885,18,23.0,22.57051,88.384589,2016-04-17 10:23:22,,7,Metro,
15,19.200897,72.849543,14,25.33,19.099237,72.847365,2016-07-01 16:44:51,,19,metro,
16,12.898306,80.16116,27,315.84,13.080045,80.159694,2016-06-07 10:33:58,11.0,11,taxi ac,2.0
17,13.184161,80.227061,35,46.13,13.152138,80.13292,2015-05-23 04:15:17,,40,Ac Bus,
18,25.28102,82.99178,42,50.17,25.325083,82.97664,2016-11-07 01:03:07,,13,Bus,
19,22.582037,88.400349,33,55.4,22.733623,88.434312,2015-03-06 18:31:05,,58,ac bus,
20,22.486142,88.401931,32,54.27,22.608321,88.394675,2016-10-11 16:04:12,,53,AC Bus,
21,13.016774,80.201634,18,190.96,12.963285,80.25898,2016-06-11 21:17:16,8.0,1,taxi non Ac,2.0
22,13.082622,80.191128,43,540.58,12.949767,80.224514,2016-12-19 05:24:35,,71,Auto Rickshaw,
23,22.471517,88.407671,21,303.6,22.481376,88.403734,2015-04-03 15:04:09,10.0,0,Taxi AC,2.0
24,28.673543,77.233234,13,68.33,28.696484,77.226144,2016-12-22 17:00:21,,22,mini Bus,
25,19.085671,72.878918,26,312.0,19.209671,72.847604,2015-03-02 20:37:25,,9,Auto Rickshaw,
26,13.020697,80.142659,37,45.52,13.178109,80.16205,2016-11-20 19:18:45,,66,Mini Bus,
27,19.218662,72.880508,36,668.07,19.087592,72.840854,2016-07-27 21:34:36,7.0,39,Taxi non Ac,11.0
28,12.903445,80.191366,23,21.05,12.904619,80.199846,2015-12-12 12:30:56,,29,metro,
29,22.540282,88.420711,26,32.55,22.453269,88.390615,2016-01-24 18:02:08,,24,Bus,
30,28.763611,77.040441,45,67.19,28.629662,77.150791,2016-02-19 22:20:35,,16,Mini Bus,
31,19.248198,72.872162,26,43.41,19.069299,72.863632,2016-01-27 00:39:49,,30,bus,
32,19.0875,72.87565,28,41.26,19.123211,72.874804,2016-10-24 06:46:16,,3,metro,
33,25.35087,83.014546,13,49.45,25.304101,82.994322,2015-09-08 10:20:46,,6,bus,
34,12.845373,77.665968,45,491.3,13.091107,77.468054,2016-11-09 18:57:53,14.0,64,taxi Non Ac,15.0
35,12.976814,77.475128,47,534.82,13.123364,77.679017,2016-02-18 21:07:37,15.0,16,taxi Non ac,3.0
36,22.725679,88.380417,32,54.27,22.734232,88.417467,2016-06-09 01:51:30,,57,Ac Bus,
37,19.019742,72.883235,27,460.0,19.059091,72.869078,2015-08-08 14:04:30,15.0,37,Taxi Non AC,8.0
38,13.036362,77.654825,28,26.31,12.952447,77.539368,2016-07-03 14:18:21,,1,metro,
39,28.708177,77.029429,38,101.78,28.630976,77.082288,2015-10-06 16:15:21,,30,AC Bus,
40,28.769812,77.164006,47,1230.98,28.706083,77.169135,2015-03-03 06:27:31,,17,auto rickshaw,
41,13.006248,80.191435,43,440.8,13.189327,80.145109,2015-05-27 16:08:53,19.0,56,taxi non ac,17.0
42,12.854332,77.58235,12,23.8,12.860708,77.67028,2016-09-21 07:24:02,,17,bus,
43,19.151067,72.869196,38,81.42,19.142915,72.869928,2016-06-06 01:54:21,,46,Ac Bus,
44,25.306065,83.000151,7,142.5,25.344496,83.003626,2015-06-22 17:29:36,8.0,2,taxi Non ac,4.0
45,22.559268,88.407293,20,301.2,22.62056,88.449675,2016-09-13 18:28:56,24.0,6,taxi ac,19.0
46,12.982639,80.18622,31,312.8,13.121005,80.186242,2015-01-20 19:34:47,11.0,40,Taxi Non AC,1.0
47,25.285461,82.978347,8,152.38,25.283332,82.966737,2015-11-06 06:05:19,,0,AUTO RICKSHAW,
48,19.177525,72.864941,23,35.09,19.024834,72.879763,2016-08-20 17:54:05,,43,metro,
49,25.262188,83.012042,39,74.72,25.296319,83.022852,2016-02-09 16:14:35,,58,bus,
50,25.352901,82.992281,46,78.42,25.32607,83.001611,2016-07-10 15:13:58,,35,Ac Bus,
51,12.874936,77.499096,45,659.17,13.101538,77.683558,2016-04-19 23:53:11,7.0,80,Taxi AC,18.0
52,12.923142,77.560339,16,155.43,12.933158,77.614458,2015-07-15 23:33:39,,24,AUTO RICKSHAW,
53,22.583943,88.44789,29,31.87,22.689017,88.379357,2016-10-01 12:41:44,,25,metro,
54,19.207871,72.837193,14,25.33,19.161739,72.854381,2015-03-09 03:27:36,,26,metro,
55,22.61755,88.4317,27,45.57,22.639287,88.432606,2015-10-09 21:41:48,,4,Mini bus,
56,13.050156,80.159687,36,33.6,13.202027,80.20419,2015-07-04 15:00:19,,38,Bus,
57,12.920634,80.218953,48,38.65,13.084248,80.143915,2016-09-02 03:40:03,,10,ac bus,
58,13.066419,80.227897,37,383.6,13.152386,80.237143,2016-01-10 19:25:35,4.0,69,Taxi Non AC,5.0
59,28.662183,77.152643,44,806.67,28.583425,77.105497,2015-04-26 12:26:52,,71,Auto Rickshaw,
60,13.012619,77.471849,36,49.98,12.84388,77.614665,2015-12-19 08:42:45,,47,AC Bus,
61,25.346348,83.010503,39,98.6,25.28363,82.991091,2016-06-04 06:37:15,,30,mini bus,
62,22.660026,88.38739,41,29.58,22.710566,88.389956,2016-04-27 17:48:01,,30,Bus,
63,19.231506,72.841098,18,68.0,19.10265,72.880161,2016-10-28 18:13:39,,11,Mini Bus,
64,13.069748,77.464982,44,35.42,12.970278,77.666241,2016-10-23 08:09:17,,80,metro,
65,19.060817,72.854026,45,942.88,19.146696,72.883493,2016-09-11 08:45:23,,33,AUTO RICKSHAW,
66,25.34829,82.971566,32,730.58,25.304893,83.00106,2015-06-27 22:16:10,23.0,27,taxi Non ac,5.0
67,25.3533,82.962573,43,51.05,25.32788,82.999526,2015-03-03 07:12:22,,55,Bus,
68,22.564703,88.422054,27,30.02,22.548797,88.417671,2015-06-16 16:10:44,,49,metro,
69,28.652902,77.177984,17,421.0,28.708085,77.09533,2016-04-07 20:04:44,21.0,16,taxi ac,0.0
70,22.494468,88.448809,41,43.9,22.597956,88.388489,2015-01-02 06:57:45,,10,ac bus,
