,FARE
1,36.67
2,25.52
3,61.9
4,31.67
5,28.0
6,228.58
7,393.13
8,33.15
9,169.92
10,39.7
11,96.71
12,275.4
13,64.38
14,48.42
15,27.09
16,31.03
17,398.78
18,81.0
19,376.5
20,47.84
21,51.15
22,76.32
23,52.81
24,243.47
25,420.75
26,81.67
27,55.4
28,994.58
29,141.67
30,32.84
31,516.12
32,541.2
33,77.22
34,395.97
35,93.87
36,82.67
37,81.42
38,62.74
39,35.39
40,41.11
41,420.75
42,644.3
43,67.82
44,34.67
45,29.55
46,47.54
47,32.89
48,534.3
49,75.33
50,33.31
51,594.66
52,77.37
53,41.26
54,770.0
55,49.7
56,121.6
57,28.33
58,1254.0
59,267.75
60,603.53
61,46.67
62,25.52
63,53.62
64,53.5
65,204.0
66,24.8
67,24.69
68,34.71
69,357.72
70,95.0
71,770.0
72,53.48
73,1164.0
74,284.0
75,72.18
76,26.98
77,42.51
78,73.44
79,41.6
80,493.68
81,614.44
82,54.44
83,422.99
84,36.33
85,605.0
86,76.0
87,78.4
88,1204.79
89,101.78
90,257.84
91,77.84
92,1152.4
93,850.67
94,76.67
95,25.14
96,41.67
97,483.65
98,40.53
99,1074.33
100,750.0
101,439.45
102,861.67
103,825.0
104,43.35
105,75.86
106,418.0
107,32.83
108,561.51
109,409.53
110,63.7
111,39.18
112,144.0
113,29.6
114,136.0
115,48.49
116,31.88
117,45.0
118,48.0
119,338.45
120,386.0
121,95.24
122,52.37
123,543.0
124,79.91
125,707.0
126,74.45
127,43.33
128,65.48
129,465.3
130,70.0
131,492.87
132,115.2
133,949.3
134,175.95
135,34.65
136,551.65
137,67.19
138,75.26
139,612.87
140,61.33
141,480.0
142,46.22
143,43.55
144,73.44
145,26.0
146,25.14
147,420.6
148,654.0
149,74.45
150,374.4
151,60.0
152,69.44
153,657.25
154,228.58
155,38.74
156,379.8
157,732.6
158,77.22
159,267.67
160,1094.5
161,96.71
162,68.05
163,31.33
164,33.29
165,689.33
166,230.78
167,764.5
168,40.88
169,953.0
170,403.33
171,475.2
172,396.66
173,66.11
174,31.33
175,49.54
176,38.33
177,415.29
178,883.33
179,40.99
180,16.0
181,693.6
182,42.63
183,62.5
184,68.13
185,49.02
186,574.37
187,411.4
188,574.37
189,324.72
190,341.2
191,25.59
192,510.0
193,103.33
194,26.93
195,882.5
196,28.33
197,44.17
198,365.2
199,42.18
200,96.8
201,43.55
202,77.84
203,173.33
204,39.75
205,30.67
206,50.1
207,50.17
208,617.1
209,66.25
210,32.35
211,1088.0
212,26.24
213,46.7
214,699.2
215,565.73
216,93.33
217,259.6
218,915.2
219,54.67
220,574.37
221,37.3
222,38.63
223,598.4
224,30.4
225,656.8
226,66.85
227,45.47
228,786.87
229,57.33
230,81.42
231,379.5
232,435.5
233,257.15
234,1037.67
235,308.58
236,31.73
237,52.0
238,30.67
239,46.42
240,268.8
241,64.38
242,438.7
243,33.29
244,30.88
245,68.4
246,546.72
247,174.84
248,31.43
249,72.0
250,306.01
251,48.0
252,1047.64
253,369.0
254,39.19
255,394.08
256,23.28
257,814.3
258,550.44
259,63.94
260,17.33
261,242.35
262,54.26
263,77.33
264,37.5
265,404.37
266,36.77
267,51.11
268,47.44
269,266.67
270,704.0
271,43.0
272,38.36
273,48.68
274,36.33
275,34.35
276,1069.2
277,34.4
278,45.9
279,405.0
280,76.32
281,53.48
282,1025.2
283,210.38
284,866.0
285,79.91
286,55.0
287,42.95
288,305.8
289,395.2
290,54.74
291,254.1
292,456.0
293,628.33
294,43.9
295,1021.45
296,128.33
297,73.16
298,1133.0
299,1033.0
300,49.25
301,501.67
302,38.42
303,41.44
304,415.8
305,43.73
306,98.33
307,32.67
308,173.72
309,22.0
310,66.11
311,930.6
312,1321.1
313,274.29
314,578.58
315,551.1
316,186.67
317,489.5
318,32.67
319,62.5
320,72.11
321,42.5
322,907.5
323,52.22
324,528.0
325,42.51
326,256.7
327,30.45
328,880.0
329,34.67
330,31.61
331,873.33
332,413.6
333,70.83
334,37.97
335,68.13
336,65.28
337,39.67
338,33.15
339,332.2
340,253.33
341,616.67
342,49.73
343,59.93
344,65.29
345,56.67
346,404.8
347,68.33
348,277.75
349,696.67
350,480.68
351,370.92
352,19.67
353,34.09
354,28.67
355,45.0
356,70.0
357,43.73
358,40.03
359,20.0
360,960.0
361,489.6
362,27.73
363,37.54
364,48.97
365,102.0
366,34.18
367,413.5
368,449.82
369,878.17
370,58.98
371,343.2
372,409.2
373,37.4
374,561.33
375,35.12
376,942.88
377,150.0
378,45.6
379,48.6
380,74.21
381,56.66
382,45.0
383,182.86
384,67.19
385,15.3
386,70.0
387,253.0
388,62.5
389,17.6
390,53.13
391,37.5
392,40.53
393,24.53
394,46.13
395,411.4
396,145.72
397,55.0
398,92.33
399,69.06
400,370.29
401,310.8
402,556.42
403,1128.0
404,61.33
405,63.94
406,211.14
407,32.58
408,58.03
409,275.4
410,504.43
411,70.83
412,390.4
413,31.33
414,26.04
